code	description
INTEXEC	Does the legislature have the power to interpellate members of the executive branch??
ASSOC	Does the constitution provide for freedom of association?
SECCESS	Are there provisions for the secession or withdrawal of parts of the state?
STANDLIV	Does the constitution provide for a right to an adequate or reasonable standard of living?
STRIKE	Does the constitution provide for a right to strike?
RGHTAPP	Do defendants have the right to appeal judicial decisions?
MOTTO	Does the constitution contain a national motto?
IMMUNITY	Does the constitution provide for immunity for the members of the Legislature under some conditions?
JOINTRDE	Does the constitution provide for the right to form or to join trade unions?
AMEND	Does the constitution provide for at least one procedure for amending the constitution?
TRILANG	Does the constitution specify the trial has to be in a language the accused understands or the right to an interpreter if the accused cannot understand the language?
LIBEL	Does the constitution provide for the right of protection of one's reputation from libelous actions?
PRISONRG	Does the constitution require that the names of those imprisoned be entered in a public registry?
COMPVOTE	Does the constitution make voting mandatory, at least for some elections?
CONREM	Does the constitution mention any special procedures for removing members of the constitutional court?
EXCRIM	Does the constitution provide for the extradition of suspected or convicted criminals to other countries?
HOSDISS	Are there provisions for dismissing the Head of State?
CUSTLAW	"Does the constitution refer to ""customary"" international law or the ""law of nations""?"
RULELAW	Does the constitution contain a general statement regarding rule of law, legality, or Rechtsstaat (the German equivalent)?
PREREL	Does the constitution provide for the right/possibility of pre-trial release?
ETHINCL	Does the constitution contain provisions concerning national integration of ethnic communities?
SAMESEXM	Does the constitution provide the right for same sex marriages?
LANG	In what language is the source document written (not the original, but the one used for coding)?
PRESINOC	Is there a presumption of innocence in trials?
ANTHEM	Does the constitution contain provisions concerning the national anthem?
WORK	Does the constitution mention a state duty to provide work/employment?
ARMS	Does the constitution provide for the right to bear arms?
CABINET	Does the constitution mention the executive cabinet/ministers?
DUEPROC	Does the constitution explicitly mention due process?
CULTRGHT	Does the constitution refer to a state duty to protect or promote culture or cultural rights?
SOCSEC	Does the constitution refer to the social security of the society or nation?
OPGROUP	Does the constitution provide for positive obligations to transfer wealth to, or provide opportunity for, particular groups?
PREVCOND	Does the constitution refer to social, political, or economic conditions in the time before the birth of the state or in the time of a former constitution?
DIGNITY	"Does the constitution refer to the ""dignity of man"" or human ""dignity""?"
HOCOP	Does the constitution provide for judicial opinions of the Highest Ordinary Court?
SOLID	"Does the constitution refer to ""fraternity"" or ""solidarity""?"
INHERIT	Does the constitution provide for inheritance rights?
EQUAL	Does the constitution refer to equality before the law, the equal rights of men, or non-discrimination?
RESENEX	Does the constitution restrict entry or exit of the states borders?
INTORGS	Does the constitution contain provisions concerning international organizations?
CENSUS	Does the constitution specify a census?
HOUSENUM	How many chambers or houses does the Legislature contain?
SHELTER	Does the constitution provide for the right to shelter or housing?
SCIFREE	Does the constitution provide for a right to enjoy the benefits of scientific progress?
NATCIT	Does the constitution provide for naturalized citizens or naturalization?
EDFREE	Does the constitution stipulate that education be free, at least up to some level?
MARRIAGE	Does the constitution provide for the right to marry?
SEPREL	Does the constitution contain an explicit decree of separation of church and state?
OVERSGHT	Does the constitution provide for an electoral commission or electoral court to oversee the election process?
EXPRCOMP	What is the specified level of compensation for expropriation of private property?
INALRGHT	Does the constitution stipulate that certain rights are inalienable or inviolable?
CONRIGHT	Does the constitution mention consumer rights or consumer protection?
DOUBJEP	Does the constitution provide for the prohibition of double jeopardy (i.e., being tried for the same crime twice)?
EDUCATE	Does the constitution contain provisions concerning education?
SOCIALSM	"Does the constitution refer to ""socialism"" or ""socialist""?"
ACFREE	Does the constitution guarantee academic freedom?
PRIVACY	Does the constitution provide for a right of privacy?
TRADEUN	Does the constitution refer to a duty to join trade unions?
JUVENILE	Does the constitution give juveniles special rights/status in the criminal justice process?
EVIDENCE	Does the constitution regulate the collection of evidence?
OVERTHRW	Does the constitution suggest that citizens should have the right to overthrow their government under certain circumstances?
ASYLUM	Does the constitution contain provisions for the protection of stateless individuals, refugees from other states, or the right to asylum?
JUDPREC	Does the constitution stipulate that courts have to take into account decisions of higher courts?
TESTATE	Does the constitution provide for a right of testate, or the right to transfer property freely after death?
PROVHLTH	Does the constitution mention a state duty to provide health care?
TORTURE	Does the constitution prohibit torture?
TV	Does the constitution refer to television?
FEDREV	Does the constitution contain provisions allowing review of the legislation of the constituent units in federations by federal judicial or other central government organs?
WOLAW	Does the constitution mention nulla poena sine lege or the principle that no person should be punished without law?
TERR	Does the constitution define the geographic borders/territory of the state?
UHELSYS	Does the constitution specify the electoral system for the Second Chamber?
GOD	"Does the constitution mention ""God"" or any other Deities?"
ARTISTS	Does the constitution refer to artists or the arts?
EXPROP	Can the government expropriate private property under at least some conditions?
BINDING	Are rights provisions binding on private parties as well as the state?
MILSERV	Does the constitution refer to a duty of military service?
FORINVES	"Does the constitution mention ""foreign investment"" or ""foreign capital""?"
LHCOHORT	Are members of the first (or only) chamber elected in the same cohort, or in staggered cohorts?
PUBTRI	Does the constitution generally require public trials?
ECONPLAN	Does the constitution mention the adoption of national economic plans?
CAPITAL	Does the constitution contain provisions specifying the location of the capital (if so, please specify the location in the comments section)?
FORTRAD	Does the constitution mention foreign or international trade?
BANK	Does the constitution contain provisions for a central bank?
FAIRTRI	Does the constitution provide the right to a fair trial?
EMRIGHTS	Does the constitution provide for suspension or restriction of rights during states of emergency?
TELECOM	Is there a mention of telecommunications?
TRANSFER	Does the constitution mention the right to transfer property freely?
LANGPROT	Does the constitution refer to the protection of different languages?
ACCESS	Are there provisions for the secession or withdrawal of parts of the state?
EDCOMP	Does the constitution stipulate that education be compulsory until at least some level?
UHQUOTA	Does the constitution stipulate a quota for representation of certain groups in the Second Chamber?
FREEELEC	Does the constitution prescribe that electoral ballots be secret?
